metros,habitaciones,banios,antiguedad,zona,tipo_vivienda,fecha_publicacion,precio
53.1,1,3,2.3,Sur,Casa,2026-02-07,1259446
97.5,3,5,6.3,Oriente,Casa,2025-01-16,1716663
164.3,2,2,5.6,Centro,Departamento,2024-11-17,2938708
130.3,4,1,5.0,Sur,Departamento,2024-10-08,1770279
117.8,4,3,4.3,Centro,Departamento,2025-08-03,2498236
101.3,5,1,1.7,Norte,Casa,2024-05-10,2083169
94.6,6,4,10.6,Sur,Casa,2024-12-17,1832172
121.5,6,3,1.0,Oriente,Casa,2024-10-22,1984902
99.9,2,1,19.0,Sur,Loft,2024-02-28,1431022
108.3,2,2,3.7,Centro,Estudio,2026-01-10,2208504
113.1,4,2,3.1,Sur,Casa,2024-01-09,1883061
82.9,7,1,3.5,Centro,Departamento,2026-07-19,2332130
131.3,4,1,21.6,Oriente,Casa,2024-04-02,1847907
226.6,1,1,3.8,Sur,Casa,2024-12-13,3676831
38.9,6,1,7.2,Centro,Casa,2024-04-05,2089645
123.0,3,1,1.1,Centro,Casa,2024-12-21,2847744
79.6,1,2,16.5,Centro,Departamento,2025-08-15,2129093
133.1,1,1,19.5,Oriente,Estudio,2024-03-25,1811403
111.9,5,1,0.4,Norte,Casa,2025-05-25,2205774
140.5,2,2,3.3,Sur,Departamento,2026-01-18,1955823
157.0,5,1,1.7,Sur,Departamento,2025-03-17,2067752
117.7,4,1,34.2,Sur,Estudio,2024-04-19,1051458
155.3,3,2,2.2,Centro,Departamento,2025-11-02,3044135
28.0,1,1,12.3,Oriente,Casa,2024-06-29,977894
173.6,4,1,14.1,Norte,Departamento,2024-01-17,2449588
125.0,1,3,23.9,Sur,Casa,2025-02-27,1987705
153.1,2,2,4.1,Sur,Estudio,2024-09-19,1814339
61.2,3,2,1.1,Sur,Departamento,2024-01-28,991759
76.8,3,3,0.8,Oriente,Departamento,2026-01-24,1151223
115.8,2,1,8.3,Centro,Casa,2025-08-04,2739857
109.3,3,1,10.8,Norte,Departamento,2026-06-01,1615070
121.3,4,1,4.6,Norte,Estudio,2025-04-10,1763898
153.4,2,3,9.1,Norte,Departamento,2025-03-01,2392076
39.4,3,3,7.1,Centro,Departamento,2026-03-28,1493781
149.0,4,2,5.2,Centro,Estudio,2024-03-20,2666239
110.3,2,1,10.1,Norte,Estudio,2024-12-16,1571552
101.8,3,2,1.1,Norte,Casa,2026-02-13,2107069
51.2,1,1,1.8,Norte,Departamento,2024-10-10,1172904
130.1,4,1,10.9,Sur,Departamento,2026-05-08,1574594
28.0,2,2,37.5,Sur,Departamento,2024-10-02,350000
135.9,3,2,9.4,Norte,Casa,2025-02-05,2334854
50.3,1,4,5.2,Norte,Casa,2026-05-20,1567188
112.1,4,3,13.3,Centro,Estudio,2024-08-24,2223891
105.2,1,2,39.0,Sur,Estudio,2026-07-28,1186182
156.8,5,4,3.6,Norte,Loft,2024-02-12,2529737
102.9,7,3,3.6,Centro,Estudio,2024-09-14,2228377
82.2,6,1,0.1,Norte,Departamento,2025-07-27,1830684
89.7,5,1,4.3,Norte,Loft,2025-07-30,1688239
160.9,5,1,0.9,Centro,Loft,2026-06-01,3088119
131.5,3,3,21.4,Sur,Departamento,2026-07-20,1971616
94.6,3,1,27.7,Sur,Departamento,2025-10-19,1184466
100.5,1,2,1.4,Sur,Casa,2025-10-01,1771802
47.3,4,2,37.8,Sur,Departamento,2024-11-03,687560
125.5,3,1,6.7,Sur,Casa,2026-02-20,1840596
39.6,2,2,0.2,Norte,Casa,2025-09-15,1436301
140.1,1,1,24.6,Sur,Departamento,2024-01-24,1956459
115.1,7,3,4.3,Norte,Departamento,2026-03-18,1962309
205.5,4,5,16.4,Norte,Casa,2024-12-14,3335946
66.0,4,4,4.2,Sur,Loft,2025-04-06,1292608
105.9,4,2,2.4,Norte,Estudio,2025-04-16,1675849
181.9,0,3,7.6,Norte,Casa,2026-03-06,2984197
157.7,1,4,1.5,Sur,Casa,2024-09-16,2720828
82.2,3,2,13.3,Oriente,Casa,2025-01-15,1567269
119.0,3,4,15.8,Oriente,Loft,2024-02-07,1929975
110.1,2,3,2.3,Norte,Loft,2024-12-04,2068040
121.3,1,2,12.5,Norte,Casa,2024-03-26,2623106
82.1,4,2,11.0,Sur,Loft,2025-07-19,1390081
106.4,2,2,28.8,Norte,Casa,2026-05-16,1979098
46.1,1,2,1.0,Oriente,Departamento,2025-03-26,947791
115.4,2,1,1.8,Norte,Estudio,2026-06-03,1704598
128.0,5,3,4.2,Centro,Casa,2026-08-05,2860752
100.9,3,1,2.0,Centro,Casa,2024-02-22,2603523
45.4,5,1,4.7,Oriente,Departamento,2025-05-15,908519
149.5,3,1,0.8,Centro,Departamento,2025-05-27,2824672
124.6,5,1,13.7,Norte,Estudio,2025-01-08,1733773
81.0,5,2,10.9,Norte,Estudio,2026-03-16,1288014
98.8,2,1,5.8,Centro,Casa,2025-01-18,2661521
50.0,3,4,25.6,Norte,Casa,2024-02-23,1441596
69.0,2,2,45.0,Sur,Loft,2025-06-15,944480
88.5,1,1,4.8,Centro,Casa,2024-07-14,2482915
159.1,4,1,25.0,Oriente,Estudio,2024-12-10,1903854
84.4,3,3,5.2,Oriente,Departamento,2025-05-01,1303000
135.6,1,1,15.2,Norte,Casa,2025-12-02,2596916
88.5,2,2,16.1,Centro,Loft,2024-09-26,2245961
119.9,1,2,3.9,Sur,Casa,2025-01-04,2111851
104.3,1,1,9.8,Centro,Departamento,2024-03-06,2648186
144.9,6,2,4.4,Norte,Departamento,2025-01-07,2384524
88.6,4,5,13.2,Oriente,Departamento,2025-07-16,1427727
47.1,5,3,4.8,Oriente,Departamento,2025-08-21,954731
54.7,2,4,1.5,Sur,Departamento,2024-10-11,1009996
88.7,3,1,16.2,Norte,Estudio,2024-02-29,1270151
60.0,6,1,13.2,Sur,Estudio,2025-07-13,706129
126.4,4,1,15.5,Sur,Departamento,2025-09-27,1612810
91.4,4,2,11.8,Norte,Casa,2024-03-23,1843080
205.0,4,1,15.6,Sur,Departamento,2025-05-04,2456815
40.5,4,3,2.2,Centro,Estudio,2024-04-02,1524526
118.1,2,1,13.7,Centro,Casa,2025-03-15,2823619
64.9,2,2,2.4,Norte,Departamento,2025-09-13,1277892
90.3,2,1,9.0,Centro,Departamento,2025-11-28,2233533
115.7,1,1,9.4,Centro,Casa,2025-11-23,2877600
28.0,2,4,3.9,Oriente,Departamento,2026-01-05,643456
119.5,2,1,9.6,Oriente,Departamento,2024-08-21,1609402
186.1,6,5,13.7,Sur,Loft,2026-03-31,2433155
91.9,4,3,7.0,Oriente,Loft,2024-12-05,1648103
120.4,1,1,1.3,Oriente,Loft,2024-12-29,1990090
151.0,3,1,2.9,Centro,Departamento,2026-02-02,2800953
103.4,2,1,14.2,Norte,Casa,2024-11-13,2107424
86.8,2,4,5.9,Norte,Departamento,2024-03-13,1580365
28.0,2,2,4.5,Centro,Loft,2025-11-23,1616076
135.6,1,3,22.3,Sur,Departamento,2025-10-04,1892307
105.5,2,5,5.1,Norte,Estudio,2025-07-18,1751430
69.5,1,4,32.7,Norte,Casa,2024-05-18,1735890
115.1,3,4,11.0,Centro,Estudio,2025-09-04,2352820
86.7,5,3,19.4,Centro,Casa,2024-07-11,2492453
88.9,1,1,5.4,Oriente,Casa,2025-06-22,1771491
134.3,1,1,16.5,Centro,Departamento,2025-05-07,2828134
56.5,1,1,3.1,Centro,Casa,2026-01-19,2098428
151.9,2,1,3.6,Norte,Casa,2026-08-05,2756751
54.1,3,4,12.3,Norte,Casa,2024-07-03,1583626
83.5,0,2,1.3,Sur,Departamento,2024-04-21,1169336
186.9,2,3,4.3,Norte,Loft,2025-06-23,2959944
155.1,2,1,10.8,Centro,Casa,2026-07-12,3196979
113.9,3,1,26.7,Centro,Departamento,2024-06-02,2189950
72.4,2,3,2.6,Oriente,Loft,2025-04-17,1371537
88.8,3,4,17.2,Sur,Casa,2025-01-30,1498288
112.9,6,5,6.8,Sur,Casa,2024-11-04,1870759
111.5,2,1,41.5,Sur,Estudio,2025-10-06,916582
106.4,3,1,20.7,Sur,Loft,2024-10-13,1323569
108.8,3,5,8.1,Centro,Departamento,2025-04-23,2445625
101.4,3,3,14.6,Norte,Loft,2026-03-31,1837696
52.3,4,4,0.4,Norte,Casa,2025-01-03,1511701
89.3,5,2,18.6,Norte,Departamento,2024-01-21,1606072
146.6,4,4,3.4,Oriente,Departamento,2026-05-08,2042283
55.3,3,1,13.8,Norte,Casa,2024-09-23,1479464
102.4,3,4,8.2,Sur,Loft,2026-01-19,1581203
77.2,2,1,4.0,Oriente,Departamento,2026-01-09,1117904
114.5,1,2,24.6,Norte,Loft,2025-05-25,2138941
94.5,3,3,0.2,Oriente,Departamento,2024-03-26,1342146
169.1,2,2,5.2,Sur,Departamento,2026-07-10,2279737
130.3,5,3,3.8,Oriente,Casa,2025-10-22,2067663
57.5,1,1,2.7,Norte,Casa,2025-02-15,1679682
136.8,3,2,8.6,Norte,Loft,2026-04-08,2219107
79.0,2,3,8.6,Norte,Casa,2026-02-03,1895141
86.9,5,3,7.5,Centro,Casa,2026-01-07,2414217
122.6,2,1,10.3,Norte,Casa,2024-06-11,2177602
90.3,7,4,3.1,Oriente,Casa,2025-09-05,1870159
145.7,4,1,29.2,Sur,Loft,2024-10-04,1962242
79.0,6,3,0.6,Centro,Departamento,2024-03-17,2373928
85.2,6,2,24.4,Norte,Estudio,2024-11-23,1279930
83.7,2,1,0.7,Centro,Casa,2024-04-10,2616066
87.4,6,1,3.9,Centro,Departamento,2024-04-12,2194832
154.0,2,1,6.2,Oriente,Departamento,2025-12-06,2196683
135.2,1,2,2.1,Norte,Departamento,2025-05-01,2324643
178.4,3,2,5.5,Norte,Estudio,2025-01-20,2407249
200.7,4,3,4.9,Sur,Estudio,2024-07-05,2073284
68.8,2,1,11.4,Centro,Estudio,2026-01-17,1568069
112.8,2,1,4.4,Norte,Casa,2025-09-07,2208054
63.0,4,1,5.8,Sur,Casa,2025-07-22,1131168
78.9,6,4,3.6,Sur,Departamento,2024-07-03,1335610
84.8,7,1,40.7,Oriente,Casa,2024-04-29,1528484
67.7,4,2,2.3,Sur,Departamento,2024-04-29,1011970
