edad,ingreso,visitas,compras,gasto_total,ciudad,fecha_registro,gasto_siguiente_mes
46,102738,7,4,4069,Monterrey,2022-10-01,2465
49,55994,2,0,560,Guadalajara,2024-04-24,1076
32,81499,7,3,3005,CDMX,2025-08-14,2729
49,99227,6,2,2678,Guadalajara,2023-12-19,2298
52,37780,4,2,2128,CDMX,2023-08-08,2578
52,73576,3,1,1504,CDMX,2022-12-26,1721
55,43453,3,0,435,Monterrey,2024-09-03,1348
36,47511,10,4,3257,Monterrey,2023-05-22,2152
36,46967,6,2,1954,CDMX,2021-06-29,2103
48,48988,10,2,1581,Monterrey,2023-06-24,1237
22,85561,8,2,3088,Monterrey,2025-12-01,2736
41,52152,13,4,3355,Guadalajara,2025-10-10,2297
32,45394,4,1,1129,CDMX,2023-05-10,1609
34,42690,7,2,2222,Monterrey,2022-10-24,1687
18,58143,9,1,1152,CDMX,2026-02-18,1634
27,31337,1,0,313,Guadalajara,2021-10-17,1609
38,38127,4,2,1419,CDMX,2023-06-03,1813
49,47756,5,2,1796,Guadalajara,2021-06-09,1763
50,36941,5,2,1544,CDMX,2023-09-15,2058
37,46201,6,2,1962,Guadalajara,2022-10-03,1912
36,36120,6,2,1627,Guadalajara,2024-06-11,1758
28,133516,5,2,2437,Guadalajara,2023-12-24,2351
43,95276,5,1,1557,CDMX,2022-07-19,2369
35,61388,8,1,1248,Puebla,2024-01-12,1891
45,47724,7,2,1609,CDMX,2023-10-01,1591
59,146588,2,1,2284,CDMX,2024-10-15,2648
38,57611,6,1,1348,CDMX,2023-09-16,1971
20,46938,8,4,3191,CDMX,2024-06-06,2429
28,57043,5,1,1018,Guadalajara,2023-03-04,1628
21,57124,9,2,2061,Monterrey,2021-06-08,1927
24,99226,7,3,2289,Monterrey,2025-02-07,1859
54,48558,3,1,1173,CDMX,2023-01-11,2251
41,140037,6,2,2727,CDMX,2021-07-08,2418
20,31539,7,2,1420,CDMX,2022-12-05,1501
46,69357,2,1,1204,Monterrey,2025-01-13,1934
53,29705,8,3,1899,Guadalajara,2021-08-03,2122
34,121607,6,1,2228,Puebla,2022-04-07,2218
30,41553,4,2,1633,Monterrey,2024-01-24,1807
34,47615,6,1,1095,Guadalajara,2021-05-15,1495
41,77817,7,3,3243,Monterrey,2025-01-11,2277
46,91828,6,3,3102,Monterrey,2023-09-15,2675
52,28115,9,4,3636,CDMX,2021-03-23,2914
53,41230,4,2,1295,CDMX,2023-01-10,1856
52,24405,4,1,710,Guadalajara,2023-10-04,1293
54,52504,8,2,2993,Guadalajara,2021-07-19,1942
46,46598,6,2,1761,CDMX,2021-08-16,2200
20,41173,7,3,2225,Guadalajara,2022-11-05,2050
36,34814,5,1,1031,Guadalajara,2025-01-15,1895
42,40419,4,2,2058,CDMX,2023-06-10,2775
33,33752,10,3,1682,CDMX,2023-11-28,2039
49,63862,2,1,1343,CDMX,2023-03-01,2359
34,104608,7,2,2346,CDMX,2021-05-06,2076
27,18669,9,3,2502,Puebla,2022-07-05,2215
55,46259,6,2,1832,CDMX,2023-09-08,2334
46,39772,6,2,1523,CDMX,2025-02-08,2292
41,62704,7,4,2644,CDMX,2022-04-03,2487
49,30458,10,4,1232,Guadalajara,2021-02-27,1701
51,45560,5,2,2105,CDMX,2022-01-29,2693
42,29150,9,3,1491,Guadalajara,2025-09-12,1317
18,69449,12,2,1864,CDMX,2024-06-21,2342
30,51515,13,5,5231,CDMX,2023-01-11,3511
33,45219,11,4,2781,Monterrey,2023-02-08,1925
26,58988,3,1,1351,CDMX,2022-11-16,1724
40,43337,6,2,1670,Guadalajara,2025-10-30,1807
52,22541,8,2,1777,Guadalajara,2021-07-01,1906
32,66030,7,2,1980,Guadalajara,2025-10-08,2036
24,56621,4,1,1133,Monterrey,2022-08-17,2008
62,45386,7,2,2232,CDMX,2025-06-10,1956
33,80215,3,1,1411,Puebla,2024-02-04,1780
23,90152,8,3,2170,Puebla,2023-02-19,2097
41,28392,8,4,2675,Monterrey,2025-04-25,1888
43,33172,7,3,2576,CDMX,2025-09-15,2091
30,106260,4,1,1524,Monterrey,2023-09-22,1692
47,99651,4,2,2578,Guadalajara,2021-05-17,2511
32,33888,6,2,1913,Monterrey,2026-01-04,2456
27,27164,5,1,1294,CDMX,2025-01-13,1537
40,35640,4,2,1444,Puebla,2023-03-29,1687
47,38213,11,5,4228,Puebla,2022-11-14,2654
30,22203,6,2,953,CDMX,2021-02-28,1547
42,49791,6,3,2245,CDMX,2025-07-03,1947
37,25846,5,2,1604,CDMX,2023-01-21,1620
72,26764,8,4,3168,Monterrey,2021-02-26,2081
29,77502,7,1,1420,Puebla,2021-05-19,1875
55,34836,9,5,3543,Puebla,2023-12-29,2269
37,47300,8,3,2119,Guadalajara,2025-04-05,1840
36,67141,6,2,1827,Monterrey,2021-05-13,2270
47,73616,7,3,2859,Monterrey,2025-08-06,2237
49,41419,4,1,1165,Guadalajara,2022-07-14,1374
53,50114,6,2,2032,Puebla,2021-06-27,2272
42,32445,4,2,1978,Guadalajara,2023-12-09,2215
31,117441,3,1,2034,CDMX,2021-11-16,2363
32,67845,5,3,1708,Guadalajara,2021-09-22,2298
44,28237,9,2,1411,CDMX,2021-07-02,2113
45,49120,10,4,2998,Monterrey,2024-08-12,2236
55,70037,3,1,1244,Monterrey,2023-07-19,2444
43,62299,5,1,1458,Guadalajara,2023-09-02,1136
51,122343,7,3,3575,Puebla,2022-04-23,1836
56,97359,9,3,2882,Monterrey,2022-03-01,2563
40,37434,7,2,1725,CDMX,2022-09-27,1979
20,46883,8,2,2215,CDMX,2023-10-20,1969
24,25828,7,3,2042,CDMX,2022-09-19,2536
21,55533,6,3,2356,CDMX,2023-04-28,2343
57,52866,9,5,4584,CDMX,2021-09-04,2554
28,189424,5,2,3366,Guadalajara,2021-03-05,2461
53,51472,4,2,2314,Puebla,2025-04-12,2058
45,17212,6,3,2327,CDMX,2024-09-10,2637
59,35030,4,2,1918,Puebla,2025-12-04,949
50,51853,10,3,2200,Monterrey,2024-09-19,2044
37,26160,5,2,1247,Puebla,2025-04-08,1172
36,31774,6,1,971,Guadalajara,2025-09-26,975
39,40830,4,2,802,CDMX,2024-01-31,1507
40,58157,8,2,2032,Monterrey,2025-11-25,1458
32,45131,5,2,2096,CDMX,2025-06-20,1948
38,31426,8,4,2985,CDMX,2022-12-05,2872
57,72681,9,2,1960,Monterrey,2024-05-21,2161
18,37428,5,3,2901,Monterrey,2024-05-06,2428
41,38191,8,1,1029,CDMX,2024-06-24,2061
27,24592,7,2,1893,CDMX,2024-02-29,2177
40,33090,5,1,1364,Puebla,2025-06-21,1891
48,67906,6,1,1459,CDMX,2021-04-10,1895
37,21833,6,2,1851,Monterrey,2021-03-21,1861
47,47307,10,3,2693,CDMX,2024-10-07,2584
19,70183,4,1,1400,Monterrey,2021-12-17,1789
51,40597,7,3,2513,CDMX,2022-06-02,2150
31,55265,10,2,1885,Guadalajara,2023-09-03,2290
45,28046,9,5,4488,CDMX,2023-03-19,3319
40,94385,6,2,1697,Guadalajara,2024-07-23,1584
18,85010,4,1,1459,Monterrey,2024-03-25,1728
29,55147,5,1,1319,CDMX,2025-08-30,2180
41,20383,5,2,1223,CDMX,2023-08-17,1834
57,29057,4,1,927,Monterrey,2022-05-06,1456
41,79886,10,5,3475,Guadalajara,2022-06-16,2518
41,115446,12,4,4077,CDMX,2022-06-15,3068
21,56858,7,2,2176,Guadalajara,2025-07-17,1972
55,91460,8,1,1820,Guadalajara,2022-01-06,3178
60,36175,6,2,1844,Puebla,2021-06-28,2150
38,44592,8,1,977,CDMX,2024-01-24,2120
35,49049,6,3,2585,Monterrey,2024-02-20,2413
19,60570,8,3,2864,Guadalajara,2024-12-22,3053
49,22825,5,1,1126,Monterrey,2021-12-18,2150
70,78459,9,0,1642,CDMX,2026-02-11,1643
47,94966,10,2,2387,Monterrey,2025-10-24,2274
53,27602,6,0,1297,Monterrey,2025-01-01,1550
45,24893,9,2,1805,CDMX,2025-11-15,1817
26,58412,10,2,2047,CDMX,2022-10-08,2345
54,35343,4,1,1094,Puebla,2024-09-17,1517
23,14982,3,2,1764,Monterrey,2022-08-22,1817
35,73445,9,4,3619,CDMX,2025-08-07,2410
41,52987,5,2,1617,Monterrey,2021-10-06,2138
49,38626,4,2,1817,CDMX,2024-12-27,1492
43,141029,10,3,3994,Guadalajara,2023-06-24,2949
43,52546,5,1,1160,Puebla,2024-05-27,1524
29,33634,12,6,4294,Guadalajara,2025-05-03,2541
23,51564,5,1,962,CDMX,2024-11-21,1056
39,29143,9,4,3709,CDMX,2022-10-17,3177
29,33495,5,3,2039,CDMX,2025-09-27,1411
22,59467,10,2,1649,CDMX,2024-06-20,1754
23,37157,14,7,4417,CDMX,2022-02-17,3042
32,39125,6,3,1911,CDMX,2022-10-17,1834
18,112924,7,1,1741,CDMX,2024-10-17,2225
22,75344,8,3,3376,Guadalajara,2024-07-14,1659
18,73234,1,0,732,CDMX,2021-12-07,1589
40,63857,5,2,2438,Monterrey,2023-02-16,2280
43,62449,4,1,1535,Puebla,2023-05-26,2002
62,101549,6,2,2017,CDMX,2022-08-03,2144
20,48544,4,1,1223,Guadalajara,2022-10-08,1852
30,123965,9,2,3065,Guadalajara,2021-02-19,2704
49,30464,5,1,1354,CDMX,2024-04-19,1832
35,43152,4,2,1255,CDMX,2025-04-22,1495
34,24605,2,1,656,Puebla,2024-04-29,1751
59,41279,6,3,2618,Guadalajara,2021-06-02,1849
34,63527,8,3,2426,Monterrey,2025-09-11,2399
24,101278,5,3,2464,CDMX,2024-08-18,2233
22,35184,5,2,1792,Guadalajara,2025-05-15,2196
42,49151,4,1,1011,Puebla,2023-03-22,1255
42,40962,3,0,410,Puebla,2021-05-04,1284
22,33884,5,2,1640,CDMX,2022-01-01,2126
26,27046,7,3,2298,Guadalajara,2021-11-26,1894
44,50530,7,2,2033,CDMX,2021-04-06,2366
45,20619,12,4,3470,Monterrey,2021-03-27,2239
30,51807,9,5,3947,CDMX,2022-07-02,2682
45,49537,5,2,1723,CDMX,2024-09-11,1858
45,35282,5,1,893,Monterrey,2023-06-03,1869
18,29571,6,3,1409,Guadalajara,2022-10-20,1544
34,24535,6,2,1403,Guadalajara,2021-04-09,1261
43,124949,3,0,1249,Puebla,2026-01-27,1419
31,25060,11,2,1783,CDMX,2026-01-22,1973
18,106815,6,3,4088,CDMX,2022-02-12,2674
35,66177,6,1,1290,CDMX,2021-11-25,2552
47,40863,8,4,1799,CDMX,2025-12-23,1969
57,27487,6,1,1071,CDMX,2025-10-30,2084
18,82557,4,1,1658,Guadalajara,2024-12-08,1766
69,116404,5,1,1617,Puebla,2024-11-21,1704
24,30730,7,2,1061,Guadalajara,2024-12-19,1751
49,42219,8,1,1102,Guadalajara,2024-09-27,1231
53,82935,1,0,829,CDMX,2024-02-29,1830
