metros,habitaciones,banios,antiguedad,distancia_centro,precio
103.8,4,3.0,25,22.8,2598000
62.7,4,2.0,3,3.9,2018000
96.4,3,3.0,9,5.0,2735000
116.5,4,2.0,28,1.1,2817000
180.8,2,3.0,3,5.6,3948000
101.9,2,1.0,12,1.1,2074000
163.3,4,1.0,8,6.6,3699000
179.3,2,1.0,15,18.9,3504000
179.5,1,3.0,1,1.5,3580000
127.8,4,2.0,27,10.1,3097000
30.0,4,1.0,12,0.3,1273000
135.7,2,1.0,5,3.3,3238000
162.2,4,4.0,7,0.8,3555000
111.4,4,3.0,16,3.0,2966000
193.5,3,2.0,6,1.3,4209000
153.7,4,2.0,35,3.3,3472000
140.6,3,2.0,11,3.8,3150000
163.9,2,2.0,31,2.5,3449000
130.0,2,4.0,14,7.5,3184000
30.0,3,1.0,19,17.6,802000
92.5,3,2.0,19,3.6,2235000
168.9,4,2.0,8,1.5,3734000
78.7,4,2.0,20,2.2,2096000
104.9,3,2.0,9,13.5,2585000
68.0,4,2.0,3,5.9,2210000
195.3,2,1.0,10,4.2,4147000
190.7,1,2.0,4,1.1,3979000
75.2,4,1.0,9,4.2,2269000
121.6,1,1.0,12,2.3,2331000
84.4,2,1.0,6,20.1,2146000
142.7,4,3.0,18,15.1,3324000
137.9,3,2.0,9,0.6,3389000
151.5,4,2.0,4,5.1,3360000
129.9,2,3.0,6,1.8,2981000
247.1,1,2.0,13,3.7,4962000
68.7,2,2.0,10,14.7,1746000
38.0,3,2.0,15,5.2,1291000
97.3,3,2.0,13,2.8,2688000
44.4,3,2.0,5,1.6,1406000
47.8,4,2.0,7,11.3,1695000
69.9,5,3.0,22,6.9,2385000
73.5,2,3.0,6,4.4,2344000
72.0,3,1.0,32,1.7,1825000
138.3,3,1.0,3,2.8,3114000
92.2,5,2.0,21,22.5,2390000
106.9,5,1.0,11,5.1,2876000
155.2,2,1.0,5,3.6,3394000
80.5,4,3.0,13,5.2,2552000
103.1,3,1.0,6,10.6,2582000
131.5,1,4.0,8,2.9,2885000
30.0,1,3.0,9,1.4,1253000
30.0,3,3.0,20,6.2,1333000
130.6,3,1.0,7,7.7,3084000
137.1,1,1.0,14,8.7,2891000
207.9,4,2.0,20,15.0,4678000
122.1,2,1.0,13,3.2,2637000
151.9,3,1.0,16,0.5,3281000
106.2,2,2.0,12,22.2,2395000
128.4,2,1.0,18,4.0,2967000
190.0,3,1.0,4,6.8,4033000
30.0,2,3.0,30,7.7,1326000
133.6,3,1.0,7,5.5,3147000
211.1,2,1.0,11,1.6,4241000
127.7,3,2.0,2,9.8,3079000
189.3,2,4.0,8,11.4,3970000
86.7,4,2.0,15,5.6,2438000
113.6,4,1.0,32,4.7,2567000
116.5,2,2.0,18,0.8,2662000
30.0,3,4.0,9,0.6,1645000
62.4,1,3.0,3,2.9,1822000
65.6,3,2.0,28,2.6,1968000
152.0,2,1.0,8,21.5,3117000
154.2,3,,15,10.7,3421000
129.6,3,1.0,9,7.6,2738000
152.1,5,2.0,16,5.1,3652000
107.6,3,3.0,27,1.3,2723000
169.1,3,4.0,20,26.9,3461000
115.4,3,1.0,10,3.3,2447000
117.6,5,1.0,28,0.8,3180000
103.0,4,2.0,37,4.8,2617000
145.8,2,3.0,23,14.5,3152000
96.0,4,3.0,9,15.3,2662000
158.9,3,1.0,21,0.3,3316000
64.1,4,1.0,23,15.2,1748000
65.5,4,2.0,10,2.2,2319000
145.9,2,2.0,37,0.3,3042000
111.0,4,3.0,26,13.2,2747000
94.6,2,2.0,10,14.0,2094000
155.1,2,3.0,9,6.3,3290000
87.7,2,2.0,23,6.0,2280000
106.0,4,3.0,43,11.7,2255000
178.0,2,2.0,4,10.8,3639000
184.3,1,3.0,16,15.5,3706000
185.8,4,1.0,21,5.6,4308000
102.3,2,2.0,27,24.0,2000000
170.4,2,1.0,21,35.0,3013000
72.3,2,2.0,8,0.9,1799000
74.2,3,1.0,4,13.3,2051000
30.0,3,1.0,10,4.8,1239000
190.3,1,4.0,21,3.4,3709000
76.1,5,1.0,8,6.6,2313000
109.3,4,3.0,29,0.4,3112000
