metros,habitaciones,banios,antiguedad,precio
90.8,3,2,12.0,2681000
118.7,4,2,4.0,3060000
191.8,2,1,11.0,4117000
99.3,2,1,6.0,2345000
129.0,4,1,14.0,3207000
119.3,2,1,0.0,2601000
167.5,4,1,8.0,3930000
221.1,2,2,6.0,4687000
98.8,3,3,18.0,2777000
100.4,4,3,1.0,2977000
161.8,3,2,10.0,3603000
147.3,3,1,15.0,3584000
193.9,2,1,32.0,4074000
143.4,1,2,7.0,3193000
105.6,3,1,13.0,2677000
143.6,4,2,2.0,3559000
164.3,5,2,10.0,4160000
152.8,4,2,22.0,3794000
140.3,4,2,33.0,3191000
162.7,4,3,14.0,3932000
166.8,4,3,2.0,4096000
175.3,2,2,25.0,3854000
145.9,5,4,2.0,4167000
113.3,4,4,3.0,3132000
125.9,3,2,26.0,2998000
168.3,2,2,9.0,3677000
87.3,3,2,6.0,2337000
134.7,3,4,16.0,3379000
104.3,4,3,11.0,3089000
121.1,3,1,21.0,2768000
171.1,3,2,12.0,4006000
127.6,5,2,12.0,3204000
121.9,2,2,20.0,2790000
65.6,3,1,9.0,1925000
149.9,1,3,5.0,3619000
145.8,4,2,17.0,3575000
206.5,5,3,8.0,4645000
107.7,2,3,12.0,2431000
128.8,4,3,1.0,3460000
130.0,2,2,9.0,3156000
183.1,5,2,6.0,4538000
116.2,4,1,1.0,3093000
131.2,4,2,9.0,3560000
144.3,1,1,9.0,3010000
127.5,5,2,13.0,3587000
102.1,4,1,22.0,2485000
127.8,3,1,20.0,2915000
162.9,4,1,7.0,3613000
78.9,2,1,12.0,2011000
125.3,4,3,14.0,3332000
92.0,2,3,7.0,2485000
167.8,4,2,2.0,4082000
59.1,3,1,8.0,1723000
97.6,2,1,23.0,2316000
135.1,2,1,2.0,2879000
182.6,1,1,4.0,4005000
117.4,3,3,5.0,3038000
97.8,3,1,4.0,2501000
195.2,3,2,16.0,4598000
62.1,2,1,6.0,1587000
35.0,2,1,17.0,1073000
137.6,4,2,10.0,3332000
99.9,1,2,2.0,2390000
79.2,5,1,7.0,2592000
148.3,4,1,20.0,3680000
129.8,4,2,11.0,3738000
97.4,3,1,8.0,2214000
68.8,4,1,23.0,2218000
154.9,2,4,4.0,3609000
146.0,2,2,6.0,3276000
116.0,2,2,19.0,2679000
193.9,4,2,16.0,4350000
77.2,1,2,3.0,2240000
59.0,3,2,14.0,2042000
92.3,5,2,6.0,2851000
118.2,4,3,1.0,3466000
129.7,3,1,8.0,2906000
110.4,2,2,34.0,2412000
134.1,4,2,20.0,3067000
69.9,3,3,10.0,2103000
177.8,2,2,2.0,3977000
116.7,2,2,1.0,2872000
164.7,5,1,10.0,4077000
133.7,4,2,13.0,3203000
138.3,4,1,17.0,3522000
142.8,4,2,15.0,3606000
137.9,3,1,16.0,3358000
145.7,3,2,12.0,3201000
173.2,3,1,22.0,3906000
127.9,3,2,6.0,3010000
148.4,3,3,10.0,3562000
116.4,4,1,2.0,3147000
177.6,3,2,6.0,4096000
92.9,4,2,20.0,2524000
192.0,3,1,16.0,4223000
118.4,3,3,1.0,2887000
62.8,3,1,36.0,1989000
125.1,3,2,11.0,3087000
92.8,4,2,11.0,2854000
153.6,2,2,6.0,3422000
93.9,3,2,7.0,2494000
102.2,2,1,11.0,2361000
44.4,3,1,15.0,1701000
101.9,3,3,13.0,2666000
35.0,4,2,6.0,1763000
56.6,5,3,5.0,2231000
150.4,3,3,4.0,3385000
151.4,4,3,21.0,3696000
137.0,3,2,19.0,3123000
81.3,3,2,14.0,2322000
118.1,2,3,21.0,2703000
119.9,2,2,9.0,3021000
73.7,3,1,18.0,2071000
180.1,3,3,15.0,4145000
155.1,1,3,18.0,3508000
111.2,2,2,4.0,2890000
121.1,2,1,12.0,2809000
128.3,5,2,8.0,3372000
38.3,3,3,1.0,1409000
110.1,3,4,23.0,2857000
92.7,2,1,19.0,2180000
79.9,3,1,13.0,2232000
108.8,2,3,5.0,2727000
191.9,2,2,2.0,4309000
145.6,3,2,1.0,3435000
97.2,1,4,6.0,2487000
142.9,1,1,16.0,3216000
